"";"profit_t1";"profit_t2"
"1127";6;-8
"1128";2;1
"1129";-1;5
"1130";0;9
"1131";4;0
"1132";-1;-3
"1133";-3;1
"1134";-5;4
"1135";3;3
"1136";6;-7
"1137";9;5
"1138";9;9
"1139";2;0
"1140";-5;-8
"1141";3;3
"1142";-1;-1
"1143";10;2
"1144";-1;2
"1145";-3;3
"1146";1;0
"1147";-2;9
"1148";-4;-4
"1149";4;1
"1150";-1;-1
"1151";1;3
"1152";-1;3
"1153";-1;-1
"1154";-5;6
"1155";8;0
"1156";1;2
"1157";-4;6
"1158";1;-5
"1159";-3;6
"1160";6;0
"1161";-2;-5
"1162";3;-2
"1163";1;-6
"1164";-2;-4
"1165";5;5
"1166";4;7
"1167";5;-1
"1168";-9;-5
"1169";10;7
"1170";-1;3
"1171";9;6
"1172";4;3
"1173";-9;3
"1174";-5;9
"1175";-2;9
"1176";7;-2
"1177";-8;2
"1178";7;-6
"1179";-7;-5
"1180";0;1
"1181";6;-6
"1182";7;1
"1183";-2;0
"1184";-6;6
"1185";-3;3
"1186";5;-1
"1187";2;1
"1188";3;-9
"1189";9;-6
"1190";-1;-2
"1191";-2;4
"1192";-4;8
"1193";-2;-2
"1194";-7;-1
"1195";-2;7
"1196";-5;-5
"1197";10;-5
"1198";-1;-7
"1199";-5;-2
"1200";-3;-3
"1201";7;-4
"1202";-5;9
"1203";-2;-4
"1204";3;2
"1205";-1;4
"1206";-5;-6
"1207";-1;7
"1208";1;-6
"1209";4;5
"1210";8;-9
"1211";2;0
"1212";-2;-8
"1213";4;-1
"1214";-1;6
"1215";2;2
"1216";8;4
"1217";-2;-6
"1218";0;-1
"1219";-1;-3
"1220";-5;2
"1221";-2;7
"1222";3;1
"1223";-2;4
"1224";5;-1
"1225";5;7
"1226";11;4
"1227";-5;-1
"1228";3;-3
"1229";1;-1
"1230";1;1
"1231";-1;1
"1232";1;-5
"1233";3;-1
"1234";-3;3
"1235";1;3
"1236";-2;-1
"1237";-3;1
"1238";1;1
"1239";1;-3
"1240";-2;-4
"1241";3;1
"1242";-1;1
"1243";1;-1
"1244";-1;-1
"1245";6;-4
"1246";0;0
"1247";6;3
"1248";-2;1
"1249";-1;-2
"1250";-5;-1
"1251";5;-6
"1252";0;-3
"1253";1;-1
"1254";2;0
"1255";-1;-1
"1256";-1;-1
"1257";1;-3
"1258";-1;-1
"1259";-1;-1
"1260";3;5
"1261";-4;8
"1262";5;1
"1263";3;3
"1264";-5;-8
"1265";3;1
"1266";1;-1
"1267";-1;-3
"1268";6;0
"1269";1;3
"1270";-1;-1
"1271";-1;-5
"1272";1;1
"1273";0;-6
"1274";-1;0
"1275";-3;1
"1276";7;0
"1277";-1;-3
"1278";1;0
"1279";8;-8
"1280";3;0
"1281";2;0
"1282";-2;0
"1283";3;-1
"1284";-5;0
"1285";1;0
"1286";4;0
"1287";9;3
"1288";-5;-5
"1289";-7;1
"1290";-1;3
"1291";3;1
"1292";5;6
"1293";-1;-1
"1294";4;0
"1295";5;9
"1296";-4;-3
"1297";6;7
"1298";8;2
"1299";4;-9
"1300";-1;-1
"1301";-3;1
"1302";-1;0
"1303";3;1
"1304";5;0
"1305";0;-4
"1306";0;-2
"1307";5;5
"1308";-3;3
"1309";-3;8
"1310";-7;-8
"1311";3;0
"1312";-2;-4
"1313";7;-6
"1314";2;-2
"1315";8;4
"1316";-3;0
"1317";-6;1
"1318";5;-1
"1319";2;-1
"1320";3;1
"1321";-2;-1
"1322";-2;3
"1323";1;3
"1324";-6;-8
"1325";3;-4
"1326";-8;-6
"1327";-8;9
"1328";3;-6
"1329";-4;-4
"1330";0;6
"1331";-3;-1
"1332";-1;1
"1333";5;6
"1334";4;1
"1335";-3;1
"1336";7;8
"1337";2;5
"1338";6;9
"1339";1;1
"1340";2;9
"1341";-7;10
"1342";6;1
"1343";1;-5
"1344";5;2
