"";"Player";"Team";"R";"ACS";"K.D";"KAST";"ADR";"Elo"
"Magni";"Magni";"SHIN";0,74;183,5;0,7;60;120,7;2
"shortmonkei";"shortmonkei";"iPon";0,74;155,1;0,63;57;101,4;1
"Benevolence";"Benevolence";"Ecle";0,74;188,6;0,79;58;118,7;2
"Agma";"Agma";"ARCE";0,74;157,6;0,74;63;106,1;2
"Yugami";"Yugami";"ALL.C";0,74;165;0,73;55;106,7;1
"kilroy";"kilroy";"Ultr";0,74;162,4;0,67;72;108,6;2
"ZeithyV";"ZeithyV";"NO O";0,74;204,4;0,81;65;125;2
"Mile";"Mile";"TOP";0,74;138,1;0,63;64;94,2;1
"savi";"savi";"DSRX";0,74;155;0,6;62;102,1;1
"casuaL";"casuaL";"East";0,74;174,3;0,8;62;115,3;2
"Cxrsed";"Cxrsed";"TRIDENT";0,74;158,1;0,7;65;103;2
"LOMBA";"LOMBA";"ITA";0,74;171,8;0,63;64;109,1;2
"Klay";"Klay";"SL";0,74;178,7;0,67;65;116,6;2
"delevingne";"delevingne";"SH";0,74;182,5;0,86;64;113,5;2
"bl0ckediee";"bl0ckediee";"aim_";0,74;180,6;0,71;54;118,5;1
"Dubu";"Dubu";"DFR";0,74;161,9;0,71;58;110;1
"Skies";"Skies";"SN";0,74;161,7;0,69;63;104,1;1
"dash.1";"dash";"S1";0,74;156,7;0,64;61;107,4;1
"KLN";"KLN";"LV";0,74;178,5;0,72;62;122,1;2
"Ninja";"Ninja";"TI";0,74;174,7;0,68;61;120,7;2
"ZeyN";"ZeyN";"Ista";0,74;164,8;0,68;66;107;2
"s3ra";"s3ra";"BHOP";0,74;160,5;0,67;59;104,3;1
"hex1s";"hex1s";"LP33";0,74;150,4;0,72;61;98,3;1
"Yuno.1";"Yuno";"la Manita";0,74;165,7;0,63;57;109,7;1
"chikag0";"chikag0";"Sabr";0,74;155,8;0,63;57;107,8;1
"howlsv";"howlsv";"DRM";0,74;166,3;0,67;59;108,1;1
"titooh";"titooh";"UC";0,74;161,1;0,73;66;107,6;2
"RAYZZ";"RAYZZ";"ALL.C";0,74;163,4;0,75;61;105,6;1
"itz";"itz";"AEP";0,74;162,7;0,7;60;104,8;1
"MIDC";"MIDC";"MH";0,74;192,5;0,8;58;128,4;2
"Aloka";"Aloka";"TFT";0,74;153,7;0,67;62;104,7;1
"Foxy";"Foxy";"SCY";0,74;162,7;0,69;59;111,5;1
"cashmere";"cashmere";"Xtar";0,74;196;0,78;62;124;2
"Ricky";"Ricky";"Team";0,74;166,5;0,74;61;113,2;2
"Skuzmi";"Skuzmi";"Eter";0,74;175,6;0,78;57;118,1;2
"Bayzon";"Bayzon";"eXtr";0,74;159;0,61;56;114,9;1
"littlesataN1";"littlesataN1";"GG";0,74;141,1;0,58;58;87,5;1
"nsT";"nsT";"ZMM";0,74;150,4;0,65;64;101,1;1
"MrPenguin";"MrPenguin";"IGW";0,74;150;0,65;70;97,6;1
"Alphaツ";"Alphaツ";"Team";0,74;127,3;0,49;53;83,9;1
"SparkeR";"SparkeR";"ITA";0,74;190,6;0,79;59;127,3;2
"KimGyuTae";"KimGyuTae";"DSP";0,74;165,4;0,73;61;114,3;2
"Rano";"Rano";"Igni";0,74;152;0,65;64;101,9;1
"Apidaez";"Apidaez";"YFPB";0,74;146,4;0,66;67;96;1
"Hemsyxx";"Hemsyxx";"717";0,74;168,3;0,65;64;119,6;2
"potter";"potter";"EG.GC";0,74;139,3;0,65;63;90,4;1
"Memaraz";"Memaraz";"MLT";0,74;183,8;0,74;59;113,6;2
"kumia";"kumia";"ICC";0,74;181;0,79;62;119,4;2
"FaNg";"FaNg";"Aion";0,74;166,8;0,69;71;110,2;2
"konoha";"konoha";"kom4ka";0,74;168;0,73;55;112,4;1
"Rya";"Rya";"LLH";0,74;173,8;0,76;61;116,1;2
"Sheutaaa";"Sheutaaa";"UBI";0,74;162,1;0,69;67;103,4;2
"Molvn";"Molvn";"Team";0,74;163,3;0,76;61;113,2;2
"zac2k";"zac2k";"HOMY";0,74;161,1;0,65;63;105,4;1
"Lawrence";"Lawrence";"GNG";0,74;211,1;0,95;57;131,2;2
"frantastic";"frantastic";"NOG";0,74;161,3;0,67;59;104,5;1
"bullseyE";"bullseyE";"OF";0,74;163,1;0,72;61;109;1
"Matt";"Matt";"VALK";0,74;159,2;0,67;63;105,1;1
"famE";"famE";"Outs";0,74;159,7;0,78;63;100,9;2
"blu";"blu";"BD.FE";0,74;168,7;0,75;62;115,7;2
"arkzy";"arkzy";"ARCH";0,74;141;0,51;54;96,2;1
"Imskiboski";"Imskiboski";"Team";0,74;159,4;0,73;65;107,4;2
"Fonder";"Fonder";"Valo";0,74;155,5;0,67;58;105,4;1
"GuNNeR";"GuNNeR";"OGT.X";0,74;167,3;0,7;63;115,6;2
"dem0n";"dem0n";"SALT";0,74;155,5;0,69;60;105,6;1
"enaye";"enaye";"Reve";0,74;157,5;0,68;62;103,8;1
"X8nfinity";"8nfinity";"Novu";0,74;176,1;0,67;56;109,7;1
"ZiggyAZ";"ZiggyAZ";"BAL";0,74;147;0,69;61;95,7;1
"witmer";"witmer";"N8V";0,74;184,1;0,76;62;117,8;2
"Shuga";"Shuga";"Hype";0,74;188,1;0,73;59;126,1;2
"GetGreedy";"GetGreedy";"CN";0,74;189;0,89;61;123,9;2
"BaTz";"BaTz";"Gx";0,74;165,3;0,68;61;107,1;1
"LuckyLeader";"LuckyLeader";"LYE";0,74;158,7;0,67;63;104;1
"Flutura";"Flutura";"GORG";0,74;190;0,74;60;125,7;2
"unknown1";"unknown1";"SN";0,74;158,2;0,74;70;92,5;2
"Jumppy";"Jumppy";"NB";0,74;189,6;0,73;67;131;2
"ReflexZach";"ReflexZach";"UYU";0,74;169,7;0,71;56;116,1;1
"Em0";"Em0";"M42";0,74;173,3;0,71;56;117,4;1
"soojai";"soojai";"Igni";0,74;163,9;0,74;63;106,9;2
"Nanu";"Nanu";"9z";0,74;139,8;0,67;63;92,4;1
"Mochiyx";"Mochiyx";"RTS";0,74;149,8;0,68;63;97,5;1
"root";"root";"NG";0,74;198,1;0,77;59;135,5;2
"MERjie";"MERjie";"JG.J";0,74;171,7;0,71;58;112,3;1
"Amenhola";"Amenhola";"INM";0,74;176;0,74;60;112,9;2
"Axzio";"Axzio";"SKC";0,74;141;0,61;64;96,5;1
"spite";"spite";"TMX";0,74;158;0,69;64;107,3;2
"Churraaaa";"Churraaaa";"UBK";0,74;168;0,66;62;104,3;1
"Mady";"Mady";"MSF";0,74;158;0,69;62;106,3;1
"zoe";"zoe";"FG";0,74;159,3;0,68;61;113,8;1
"Caroline";"Caroline";"EQ C";0,73;187,1;0,7;57;120,2;2
"RiickyC";"RiickyC";"DOES";0,73;153,5;0,65;66;111,2;2
"Kaqnn";"Kaqnn";"BJE";0,73;186,9;0,72;55;121,4;2
"CrYsTaL";"CrYsTaL";"MLC";0,73;151,8;0,74;57;95,8;1
"zaina";"zaina";"GK";0,73;181,6;0,68;55;114,6;1
"elinoO";"elinoO";"Cres";0,73;163;0,65;58;114,3;1
"yuhneb";"yuhneb";"AKAT";0,73;143;0,63;66;97,3;1
"DoubleD";"DoubleD";"MRS";0,73;164,2;0,71;67;109,5;2
"faintz";"faintz";"BTF";0,73;178,4;0,72;57;114,5;2
"kwearZ";"kwearZ";"AvgJ";0,73;186,3;0,73;55;118,9;2
"Yuggs";"Yuggs";"FXG";0,73;170,8;0,64;60;122,9;2
"Arec";"Arec";"AE";0,73;160,2;0,65;56;110,9;1
"Skittles";"Skittles";"Kaho";0,73;165,8;0,67;63;119,5;2
"Rest";"Rest";"TFT";0,73;169,5;0,71;62;114,5;2
"pkr";"pkr";"TM.A";0,73;162,4;0,67;65;108,2;2
"Tinchoff";"Tinchoff";"Sem";0,73;157,5;0,75;62;101,4;1
"Kypidonixa";"Kypidonixa";"Impr";0,73;148,3;0,66;65;96,5;1
"Lana";"Lana";"24/H";0,73;164,3;0,72;60;106,8;1
"Hax";"Hax";"UCAM.A";0,73;219;0,79;54;131;2
"Veronica";"Veronica";"RN";0,73;160,2;0,71;57;105;1
"Ronnie";"Ronnie";"MEAP";0,73;147,9;0,64;59;98,9;1
"poem";"poem";"IGZ";0,73;144,3;0,64;66;99,8;1
"ujliana";"ujliana";"LF";0,73;146,3;0,66;61;91;1
"TOFH";"TOFH";"Crim";0,73;175,6;0,7;60;115,6;2
"Chef";"Chef";"Zam
																			Rose";0,73;120,3;0,41;35;81,9;1
"Jasprr";"Jasprr";"FG";0,73;158,1;0,68;59;107,3;1
"adi";"adi";"BM";0,73;149;0,62;65;106,7;1
"Hakuja";"Hakuja";"STCE";0,73;162,6;0,67;58;103,3;1
"BazooM";"BazooM";"EX0T";0,73;156,1;0,61;66;98;1
"adi.1";"adi";"MOX";0,73;157,6;0,73;61;105,8;1
"Eden1";"Eden1";"Enda";0,73;174,8;0,74;55;113,2;1
"yami";"yami";"STCE";0,73;175;0,68;63;115,6;2
"xZyclon";"xZyclon";"NBG";0,73;149,6;0,61;61;98,5;1
"haamu";"haamu";"STAGA";0,73;170,4;0,73;66;111,1;2
"Cfax";"Cfax";"Igni";0,73;180,5;0,72;60;119,7;2
"irya";"irya";"Stel";0,73;138,3;0,67;73;80,3;1
"melloney";"melloney";"EG";0,73;148,5;0,64;63;97,5;1
"Fancazista";"Fancazista";"Vx3";0,73;142,7;0,61;62;98;1
"Pyro";"Pyro";"AOE";0,73;177,7;0,72;63;120,4;2
"CybinH";"CybinH";"NO O";0,73;163,7;0,71;62;108,8;2
"oWchet";"oWchet";"SXG";0,73;152,2;0,68;60;99,7;1
"Tairany";"Tairany";"Vand";0,73;171,3;0,67;64;114,8;2
"jjjoshy";"jjjoshy";"RE";0,73;158,2;0,72;60;108,7;1
"Avxrsive";"Avxrsive";"DNAD";0,73;173,9;0,61;58;116,7;1
"peixinho";"peixinho";"NOG";0,73;179,5;0,7;58;117,3;2
"Arquiza";"Arquiza";"PFC6";0,73;176,4;0,76;65;122,8;2
"Nestri";"Nestri";"ACE";0,73;185,9;0,76;60;124;2
"NukeProphet";"NukeProphet";"303";0,73;172,3;0,72;59;108,8;1
"Flax";"Flax";"QT";0,73;171,4;0,75;63;111,4;2
"coffeemaker1";"coffeemaker1";"RE";0,73;159;0,69;60;109,6;1
"pops";"pops";"B8";0,73;159,9;0,66;58;104;1
"Dane";"Dane";"Twis";0,73;176,8;0,76;65;117,3;2
"Inquisitor";"Inquisitor";"ARCE";0,73;216,4;0,94;67;133,4;3
"janki";"janki";"NoM";0,73;219,4;0,91;61;132,2;3
"Semilau";"Semilau";"GAL";0,73;168;0,74;60;111,8;2
"Xamber";"Xamber";"F11";0,73;180;0,68;66;120,5;2
"jave";"jave";"NxS";0,73;166,8;0,63;63;116,6;2
"craigys";"craigys";"ZLS";0,73;170,9;0,73;64;110,7;2
"supaiR";"supaiR";"On T";0,73;143,8;0,63;54;92,5;1
"FriX";"FriX";"IG";0,73;177,5;0,71;66;116,7;2
"HellRose";"HellRose";"IRIS";0,73;161,4;0,65;63;107;1
"darkosek";"darkosek";"Capr";0,73;169,1;0,72;62;115,3;2
"Drenit";"Drenit";"PsrK";0,73;229,7;0,96;53;140;3
"druid";"druid";"TGH";0,73;149,3;0,64;58;104,6;1
"mist";"mist";"RE";0,73;159,3;0,64;66;107,5;2
"EliEsS";"EliEsS";"OS";0,73;160,1;0,69;60;107,5;1
"Brackz";"Brackz";"NOP";0,73;159,7;0,69;63;104,5;1
"HyperDuck";"HyperDuck";"Hype";0,73;168,3;0,65;51;117,6;1
"muelito";"muelito";"Reve";0,73;159,2;0,74;67;98,5;2
"sLd";"sLd";"MDS";0,73;189;0,77;61;112,9;2
"Sayonara";"Sayonara";"CSE";0,73;159,6;0,62;60;103,4;1
"Daid";"Daid";"F1";0,73;176,5;0,71;58;118,4;2
"Daiyana";"Daiyana";"LUSA";0,73;183,5;0,74;62;126,1;2
"Patr1k";"Patr1k";"Z10";0,73;150,3;0,58;70;96,1;1
"acts";"acts";"Team";0,73;151,4;0,66;63;102,1;1
"Julie";"Julie";"NOM.L";0,73;152;0,7;61;101,4;1
"YaeMiko";"YaeMiko";"DOM";0,73;172;0,71;55;108,2;1
"BriTSy";"BriTSy";"VLT";0,73;144,6;0,63;62;102,6;1
"real";"real";"GD";0,73;207,2;0,81;62;126,5;2
"w0dash";"w0dash";"Capr";0,72;192,1;0,74;58;127,5;2
"skyler";"skyler";"HEET";0,72;173,1;0,67;53;122,9;1
"É";"É";"a Rebeguinha";0,72;187;0,71;55;108,8;1
"cyd0v";"cyd0v";"Runn";0,72;154,8;0,56;46;97,5;1
"LaZo";"LaZo";"Team";0,72;196,2;0,85;60;116,2;2
"Vennom";"Vennom";"FF";0,72;176;0,69;67;102,5;2
"iAndy";"iAndy";"Novu";0,72;183,3;0,85;56;107,8;2
"RushB";"RushB";"NOM";0,72;139,2;0,6;65;96,3;1
"Dream";"Dream";"Taip";0,72;169,3;0,64;57;108,8;1
"Haricots";"Haricots";"HKB";0,72;144,4;0,61;64;99,4;1
"Dnasdya";"Dnasdya";"AURA";0,72;170,9;0,66;56;117,2;1
"mizzy";"mizzy";"LF";0,72;141,2;0,62;65;93;1
"PADO";"PADO";"GGam";0,72;165,3;0,7;63;108,9;2
"Aphun";"Aphun";"Kaiz";0,72;159,5;0,63;64;108,9;1
"JARLO";"JARLO";"who";0,72;168,4;0,7;60;111,8;2
"BeasT";"BeasT";"GX";0,72;168,9;0,69;61;115,8;2
"deoz";"deoz";"NoM";0,72;184,3;0,75;66;123,8;2
"Pegsazeus";"Pegsazeus";"RIX.S";0,72;197,4;0,72;56;116,1;2
"Rixad";"Rixad";"One";0,72;161,8;0,67;60;108,4;1
"dere";"dere";"CG";0,72;189,6;0,69;61;127,8;2
"GenTle";"GenTle";"DART";0,72;118,9;0,6;57;79,4;1
"Ravery";"Ravery";"OG";0,72;163,5;0,73;64;111,7;2
"lonely";"lonely";"TiA";0,72;210,5;0,73;54;134,8;2
"cupid";"cupid";"BOTS";0,72;173,9;0,66;64;107,1;2
"shellXO";"shellXO";"MRB";0,72;179,8;0,79;64;114,8;2
"Vinice";"Vinice";"MRS";0,72;170,8;0,69;62;110,6;2
"niiveK";"niiveK";"TILT";0,72;169,8;0,73;61;109,3;2
"heist";"heist";"NMG";0,72;142,5;0,64;65;98,2;1
"azuliate";"azuliate";"Crac";0,72;173;0,73;61;110,7;2
"Kikirucha";"Kikirucha";"DPC";0,72;162,6;0,66;62;105,8;1
"Zukk1niW";"Zukk1niW";"DOM";0,72;191,8;0,69;52;127,3;2
"DmGod";"DmGod";"JH";0,72;185,9;0,78;61;124,3;2
"REV1";"REV1";"Pent";0,72;169,4;0,69;56;107,5;1
"dior";"dior";"BASE";0,72;146,1;0,62;66;95,6;1
"Lou";"Lou";"CRWN";0,72;167,4;0,71;59;114,9;2
"Levicak";"Levicak";"Nenk";0,72;155;0,65;59;106,1;1
"proxy";"proxy";"MAD";0,72;193,8;0,68;57;126,5;2
"zorrele";"zorrele";"GG";0,72;180,1;0,76;59;117,4;2
"Rocket";"Rocket";"GTZ";0,72;178,8;0,69;62;115,7;2
"n4ts";"n4ts";"ez5";0,72;149,6;0,68;59;96,9;1
"KrainZzz";"KrainZzz";"ST";0,72;171;0,72;56;106,3;1
"Swifts";"Swifts";"Igni";0,72;184,1;0,73;59;122,8;2
"AMIR2h";"AMIR2h";"Balk";0,72;158,3;0,7;62;109,3;1
"guiih9";"guiih9";"Real";0,72;150,2;0,67;58;103,6;1
"J4CK";"J4CK";"God";0,72;173;0,63;54;111;1
"ezpk";"ezpk";"boom";0,72;143,5;0,67;60;100,1;1
"tylo";"tylo";"ZMM.S";0,72;159,6;0,63;60;111,8;1
"Lokkara";"Lokkara";"Impr";0,72;171,1;0,66;62;111,2;2
"Doubleee";"Doubleee";"Gala";0,72;169,5;0,68;71;110,5;2
"Tobco";"Tobco";"NO M";0,72;158,3;0,71;60;110,8;1
"Lyphnix";"Lyphnix";"FF";0,72;191;0,69;57;126,7;2
"Valkorini";"Valkorini";"ZETA";0,72;188,6;0,82;60;118,5;2
"shady";"shady";"Wave";0,72;185;0,72;57;122,6;2
"Revival";"Revival";"NOP";0,72;177,4;0,72;58;115,5;2
"Infflicks";"Infflicks";"OF";0,72;154,7;0,68;68;109,4;2
"Kraken";"Kraken";"TR";0,72;160,8;0,65;60;109,3;1
"Synergy";"Synergy";"Valo";0,72;149,6;0,61;60;102,3;1
"Panamera";"Panamera";"SANGAL";0,72;167,2;0,67;61;114,9;2
"Serina";"Serina";"5IQ";0,72;164,7;0,69;57;110,2;1
"zeet";"zeet";"ZETA";0,72;180,8;0,73;60;116,7;2
"GlXad";"GlXad";"iNv";0,72;175,8;0,7;57;122,5;2
"Loco";"Loco";"FOG";0,72;193,2;0,75;63;123,2;2
"Loonie";"Loonie";"AXI";0,72;146;0,62;67;93,6;1
"SeiLaN";"SeiLaN";"SBL";0,72;183,4;0,69;63;113,7;2
"FunnyZ";"FunnyZ";"BC";0,72;172,3;0,76;59;109,8;2
"Karokis";"Karokis";"Nativz";0,72;152,3;0,5;61;99,6;1
"Nudle";"Nudle";"N4D";0,72;153,3;0,66;59;105,2;1
"Pase52";"Pase52";"Omni";0,72;189,3;0,73;58;106;2
"Natty";"Natty";"VX";0,72;164,8;0,67;65;110,4;2
"GwangUh";"GwangUh";"MARU";0,72;142,9;0,63;63;99,6;1
"RamsZZ";"RamsZZ";"AMZ";0,72;148,4;0,64;64;102,8;1
"DEYTEN";"DEYTEN";"VCTR";0,72;159;0,78;62;119;2
"Affect";"Affect";"MCT";0,72;155,7;0,64;65;104,9;1
"foxzAo";"foxzAo";"JUXT";0,72;172;0,73;60;117,9;2
"delezyh";"delezyh";"Quic";0,72;184,1;0,9;63;127,6;2
"Money";"Money";"V";0,72;168;0,59;67;124,4;2
"attach";"attach";"IluZ";0,72;139,9;0,62;65;88,6;1
"Vinny";"Vinny";"TM";0,71;188,6;0,73;61;116,8;2
"Akula";"Akula";"nedg";0,71;159,3;0,7;60;109,1;1
"vii";"vii";"HLD";0,71;162;0,65;66;102,1;1
"Heli";"Heli";"Vals";0,71;167;0,66;61;107,3;1
"jacobson";"jacobson";"TFF";0,71;180;0,73;56;119,2;2
"JoshRT";"JoshRT";"NRG";0,71;171,4;0,77;67;105,6;2
"YuRelly";"YuRelly";"NEXU";0,71;154,5;0,67;60;93,6;1
"kayban";"kayban";"EGN";0,71;155,4;0,64;62;104,6;1
"Mercy";"Mercy";"KARM";0,71;140;0,63;61;99;1
"Lady";"Lady";"Uzi";0,71;160,8;0,64;61;111,2;1
"nazek";"nazek";"Rebi";0,71;200,9;0,89;56;127,2;2
"darz";"darz";"ANO";0,71;152,8;0,66;62;100,6;1
"tirexa";"tirexa";"GT3";0,71;171,4;0,7;63;114,3;2
"Knight.1";"Knight";"BJE";0,71;150,5;0,66;59;102,6;1
"ARES";"ARES";"AOE";0,71;148,4;0,62;61;102,6;1
"Yung";"Yung";"Gabesu
																			TA";0,71;159,3;0,63;59;105;1
"witch";"witch";"Gods";0,71;164,1;0,64;55;113,6;1
"Equinox";"Equinox";"R5";0,71;157,1;0,68;64;102,5;1
"mumma";"mumma";"Unde";0,71;212,2;0,86;62;118;2
"oSuhnny";"oSuhnny";"FLUX";0,71;175,6;0,72;60;111,5;2
"menace";"menace";"Lank";0,71;209,3;0,97;66;136,1;3
"egggs831";"egggs831";"Hype";0,71;160,8;0,74;54;103,9;1
"Miho";"Miho";"Begrip";0,71;157,9;0,72;66;105,8;2
"laoken";"laoken";"Ecle";0,71;176,6;0,71;58;120,5;2
"weel";"weel";"PNT";0,71;163;0,61;65;112,4;2
"aKoOo";"aKoOo";"Ahji";0,71;158,9;0,64;54;100,8;1
"Jinker";"Jinker";"eXtr";0,71;135,7;0,56;59;88,1;1
"s2newb";"s2newb";"IGW";0,71;184,3;0,75;64;132,6;2
"Binks";"Binks";"T69";0,71;178,6;0,68;60;120,8;2
"YAYAX";"YAYAX";"ZER";0,71;173,8;0,75;66;112,7;2
"djaz";"djaz";"EP";0,71;173,3;0,68;61;112,6;2
"asian";"asian";"PMA";0,71;162,2;0,69;63;101,5;1
"lux";"lux";"KABA";0,71;175;0,63;39;127,4;1
"taiZen";"taiZen";"GHR";0,71;175;0,67;58;122;2
"Vow";"Vow";"DSP";0,71;154,4;0,68;60;106,3;1
"Sappy";"Sappy";"MAD";0,71;171,8;0,63;58;117,5;1
"reece";"reece";"Rose";0,71;143,7;0,6;61;92,1;1
"fanCy";"fanCy";"AvgJ";0,71;169,4;0,84;64;112,9;2
"Brozey";"Brozey";"Voya";0,71;166,9;0,67;66;108,3;2
"kiana";"kiana";"Sanr";0,71;148,3;0,67;60;102,6;1
"BoNeS";"BoNeS";"VL";0,71;156,6;0,68;61;103,1;1
"maple";"maple";"Whis";0,71;188;0,75;58;130,1;2
"Soop";"Soop";"RG";0,71;162,8;0,68;59;111,9;1
"Orange";"Orange";"Panda
																			ZS";0,71;172,3;0,67;61;119,6;2
"Protagonist";"Protagonist";"PE";0,71;162,2;0,65;59;104,3;1
"dino";"dino";"ASP";0,71;152,9;0,65;60;105,6;1
"jotinha";"jotinha";"OXEN";0,71;144,1;0,69;65;99,2;1
"BrightBlue";"BrightBlue";"RYU";0,71;169,5;0,7;65;103,6;2
"Vigilance";"Vigilance";"Alve";0,71;170,6;0,67;58;113,9;1
"Alu";"Alu";"FXP";0,71;178,5;0,71;53;111,9;1
"ROACH";"ROACH";"uG";0,71;160,2;0,67;61;107,2;1
"BenJ";"BenJ";"锦
																			uG";0,71;158,1;0,64;60;105,9;1
"William";"William";"NÖF";0,71;146,4;0,63;63;93,5;1
"Hqrdest";"Hqrdest";"Bons";0,71;198,6;0,79;58;120,6;2
"ze2";"ze2";"KE";0,71;166,5;0,74;56;109,8;1
"TeTrixX";"TeTrixX";"IESR";0,71;180,1;0,68;62;115,5;2
"Regret";"Regret";"UR";0,71;157,2;0,67;63;99,9;1
"NSD";"NSD";"ORG";0,71;139,6;0,56;63;95,7;1
"necaX";"necaX";"EGN";0,71;167,4;0,69;60;110,6;1
"sinyh";"sinyh";"AGL";0,71;171,8;0,66;57;114,4;1
"strats";"strats";"PG";0,71;148;0,58;51;101,5;1
"EduCoz";"EduCoz";"OL";0,71;170,3;0,72;61;109,9;2
"paddoX";"paddoX";"AA";0,71;150,4;0,71;64;102;1
"Miona";"Miona";"SANGAL";0,71;175,9;0,71;61;118;2
"Xopccc";"Xopccc";"Noma";0,71;151,3;0,56;61;103,6;1
"nero";"nero";"CTL";0,71;159,3;0,7;59;101,2;1
"LordKnight";"LordKnight";"Team";0,71;176,3;0,65;57;125,2;2
"STRANGER";"STRANGER";"Snakes";0,71;160,5;0,67;63;110,3;2
"Hazard.1";"Hazard";"PS";0,71;196,8;0,75;65;119,3;2
"dyx";"dyx";"TBK";0,71;151,3;0,61;60;99,2;1
"MELYA";"MELYA";"Indi";0,71;171,4;0,7;62;114,5;2
"pao";"pao";"Ahji";0,71;169,5;0,79;53;108,9;1
"Re1Ko";"Re1Ko";"FNX";0,71;177,8;0,72;57;118,5;2
"rowancy";"rowancy";"SKC";0,71;135,6;0,63;60;90,5;1
"cuppycake.1";"cuppycake";"QQQ";0,71;151,9;0,69;61;103;1
"MissPanda";"MissPanda";"ITB.P";0,7;157,3;0,6;48;104,9;1
"Felox";"Felox";"Axol";0,7;142,2;0,64;60;91,9;1
"Simple";"Simple";"AGM";0,7;198,2;0,83;58;128;2
"mol";"mol";"74
																			iG";0,7;172,8;0,74;65;120,4;2
"alecks";"alecks";"PRX";0,7;149,3;0,67;65;103,2;1
"xmdcie";"xmdcie";"TMX";0,7;175,8;0,62;61;116,4;2
"INTD";"INTD";"RYU";0,7;173,2;0,65;59;119;2
"Jaytato";"Jaytato";"SENT";0,7;139,8;0,63;67;91,1;1
"Maaatrix";"Maaatrix";"3BL";0,7;169,2;0,73;62;111,5;2
"HungryRegi";"HungryRegi";"4RL.H";0,7;154,8;0,63;58;103,6;1
"Naboletana";"Naboletana";"4RL.H";0,7;153;0,57;60;102,4;1
"paranoid";"paranoid";"PYR";0,7;183,4;0,81;62;115,8;2
"GWASA";"GWASA";"SKC";0,7;166;0,71;62;108,6;2
"Jonji";"Jonji";"BBGA";0,7;158;0,63;61;114,5;1
"Co1d";"Co1d";"YGGP";0,7;179,2;0,73;61;123;2
"UZ1";"UZ1";"MH";0,7;171,8;0,67;63;112,8;2
"Böcek";"Böcek";"UP.F";0,7;141;0,65;63;89,7;1
"Hugstar";"Hugstar";"AvgJ";0,7;219,8;0,97;57;139,3;3
"DunKZ";"DunKZ";"IluZ";0,7;166,6;0,67;56;109,3;1
"Imposter";"Imposter";"Hype";0,7;151,9;0,62;58;102,8;1
"napeR";"napeR";"DLR";0,7;157,2;0,63;59;101,3;1
"Jaomock";"Jaomock";"KGG";0,7;173,5;0,7;63;114,1;2
"gabi";"gabi";"LUSA";0,7;159,5;0,65;58;105,1;1
"valois";"valois";"DG";0,7;135;0,54;54;80,6;1
"grigio";"grigio";"Mack";0,7;163;0,61;67;111,6;2
"aldenS";"aldenS";"TeVo";0,7;149,6;0,67;57;102,3;1
"Dilâra";"Dilâra";"BBL.Q";0,7;146,4;0,59;60;99,2;1
"chjna4q";"chjna4q";"NOG";0,7;177,6;0,7;60;118,5;2
"younNGG";"younNGG";"PNT";0,7;176,8;0,69;61;116,2;2
"yerk";"yerk";"Cryp";0,7;181,7;0,72;53;122;2
"ReCont";"ReCont";"scha";0,7;215;0,69;57;125;2
"NakuTheGod";"NakuTheGod";"Team";0,7;163,3;0,58;67;111,4;2
"Vangz";"Vangz";"AEL";0,7;158,3;0,63;68;99,4;1
"heavnn";"heavnn";"AG";0,7;181,9;0,77;66;110;2
"DEATHLESS";"DEATHLESS";"Reaper";0,7;157;0,71;54;105,8;1
"DFOX";"DFOX";"O.O.";0,7;169,9;0,65;60;109;1
"TiKeX";"TiKeX";"DOES";0,7;186,8;0,72;54;121,1;2
"MrBK";"MrBK";"Visi";0,7;186,3;0,67;65;122,4;2
"sherb";"sherb";"Crow";0,7;185,7;0,62;54;129,4;2
"Dyln5k";"Dyln5k";"FF";0,7;164;0,56;53;114,5;1
"LTDZ";"LTDZ";"9z";0,7;143,3;0,54;60;92,5;1
"mAERS";"mAERS";"LAND";0,7;153,9;0,64;57;101,6;1
"Try.1";"Try";"AE";0,7;167,8;0,79;54;112,1;1
"Dalkom";"Dalkom";"cowb";0,7;199,4;0,71;67;127,3;2
"Starryy";"Starryy";"Asto";0,7;163,5;0,66;61;109,6;1
"NOOB1TO";"NOOB1TO";"WaVii";0,7;168,8;0,7;64;98;1
"Bloody.1";"Bloody";"Elf
																			LAPF";0,7;165,8;0,59;56;104,5;1
"BOOMBURAPA";"BOOMBURAPA";"Z11";0,7;165,6;0,77;64;101,2;2
"nethan";"nethan";"47";0,7;153,4;0,64;69;95,2;1
"HILTON";"HILTON";"T1A";0,7;168,2;0,65;58;111;1
"Joey";"Joey";"CE";0,7;156,1;0,69;64;99,5;1
"Black";"Black";"SEQ";0,7;168,9;0,74;58;110,6;1
"kynsinho";"kynsinho";"LEV";0,7;157;0,74;54;90,7;1
"Daren";"Daren";"36NU";0,7;180,8;0,7;61;113,2;2
"Bowman";"Bowman";"Myst";0,7;156,3;0,79;59;98,3;1
"trunkZ";"trunkZ";"TK A";0,7;170,8;0,71;59;115,2;2
"ecko";"ecko";"NES";0,7;167,6;0,67;61;111,2;1
"daffy";"daffy";"TES";0,7;176,1;0,67;61;117,2;2
"flavor";"flavor";"zest";0,7;152,8;0,69;63;103,3;1
"Gunny";"Gunny";"GNG";0,7;177,4;0,74;60;123,9;2
