"";"Player";"Team";"R";"ACS";"K.D";"KAST";"ADR";"Elo"
"Aanszo";"Aanszo";"AVM";1,08;231,4;1,14;72;151,6;3
"Kicks";"Kicks";"bonk";1,08;220,6;1,09;71;140,1;3
"Leu";"Leu";"GGO";1,08;228,7;1,1;71;141,1;3
"frz";"frz";"MIBR";1,08;210,6;1,2;74;134,7;3
"DEQ";"DEQ";"YF";1,08;244,1;1,21;68;154,1;3
"Kwixy";"Kwixy";"RN";1,08;195,7;0,99;75;133,7;3
"Scarlett";"Scarlett";"RBLS";1,08;228;1,12;73;146,6;3
"romi";"romi";"KRÜ.F";1,08;226,5;1,16;73;148,9;3
"Sand";"Sand";"EGYPT";1,08;215,7;1,11;72;141,5;3
"penny";"penny";"V1";1,08;232,2;1,15;72;145,5;3
"kellyS";"kellyS";"RRQ";1,08;243,6;1,09;71;156,2;3
"Smurfette";"Smurfette";"TUR";1,08;245;1,15;70;155,2;3
"X1ndra";"1ndra";"Team";1,08;230,7;1,12;69;155,2;3
"invy";"invy";"TS";1,08;224,1;1,11;73;147,6;3
"CHICHOO";"CHICHOO";"EDG";1,08;196,9;1,08;74;131,3;3
"Biel";"Biel";"KG";1,08;225,4;1,09;71;144,7;3
"QutionerX";"QutionerX";"BBL";1,08;229,2;1,14;71;149,3;3
"sterben";"sterben";"FF";1,08;209;1,1;73;137,4;3
"KeNNy";"KeNNy";"RC";1,08;220;1,05;62;151,2;3
"kalita";"kalita";"KRÜ.F";1,08;203;1,08;75;136,5;3
"Jinx";"Jinx";"E36";1,08;219,4;0,96;69;138,8;3
"Ayam";"Ayam";"Bakar
																			BSTR";1,08;222,8;1,06;71;139,9;3
"avery";"avery";"DART";1,08;220,2;1,15;69;146,4;3
"RND";"RND";"LOS";1,08;232,1;1,16;68;144,3;3
"Sztwo";"Sztwo";"Totoro";1,08;202,6;1,16;76;130,2;3
"lowel";"lowel";"TH";1,08;195,8;1,23;75;127,3;3
"mimii";"mimii";"WSF";1,08;214;1,14;72;138,4;3
"Bob";"Bob";"C9W";1,08;202,6;1,04;74;133,1;3
"Famouz";"Famouz";"BME";1,08;247,7;1,15;72;159,6;3
"PowerPixele";"PowerPixele";"GX3";1,08;215;1,11;75;137,9;3
"kAdavra";"kAdavra";"BDS";1,08;233,4;1,19;71;146,8;3
"trent";"trent";"TGRD";1,08;220,2;1,11;74;146,6;3
"sayuri";"sayuri";"B4A";1,08;201,6;1,03;75;131,8;3
"shirazi";"shirazi";"BRNV";1,07;219;1,05;73;143,6;3
"STYRON";"STYRON";"GMN";1,07;215,9;1,12;74;145,9;3
"ZexRow";"ZexRow";"DR";1,07;216,1;1,13;71;138,2;3
"Reduxx";"Reduxx";"OXGA";1,07;239,7;1,13;69;154,6;3
"Shiro";"Shiro";"BME";1,07;198,6;1,07;75;133;3
"Ninou";"Ninou";"RIX";1,07;199,2;1,07;76;131,4;3
"phz";"phz";"3P";1,07;200,9;0,85;63;123,4;2
"m4ndzin";"m4ndzin";"ODK";1,07;225,4;1,08;71;147,6;3
"cauanzin";"cauanzin";"LOUD";1,07;209,7;1,04;74;137,3;3
"mimiFPS";"mimiFPS";"TMV";1,07;235,9;1,14;70;154,2;3
"waddle";"waddle";"HEET";1,07;206,7;1,04;73;135,6;3
"Grmekista";"Grmekista";"DIA";1,07;207,8;1,09;71;137;3
"LBY";"LBY";"EVA";1,07;164,2;0,73;78;96,3;2
"DeadFox";"DeadFox";"HEET";1,07;219,7;1,09;70;131,9;3
"isa1";"isa1";"DLR";1,07;218,8;1,12;69;137,3;3
"stax";"stax";"DRX";1,07;199,6;1,18;75;128,4;3
"ZiXuan";"ZiXuan";"FPX.ZQ";1,07;244;1,12;70;134,6;3
