"";"Player";"Team";"Rnd";"R";"ACS";"K:D";"KAST";"ADR";"HS%";"KMax";"IK"
"1155";"pryze";"TRY";1946;1;192,4;0,96;"70%";126,1;"22%";26;4
"1156";"Extreme";"LAND";527;1;236,5;1,07;"65%";153,8;"24%";32;9
"1157";"LacoS";"Unit";92;1;175,4;0,7;"63%";121;"20%";15;-4
"1158";"roxi";"DACH";2574;1;193;0,99;"70%";132;"24%";32;-16
"1159";"KRAY";"MAD";3799;1;194,4;0,99;"70%";129,9;"26%";32;-14
"1160";"Xelrey";NA;160;1;173,7;0,84;"70%";107,4;"25%";23;-3
"1161";"Bizinha";"MIBR.F";561;1;227;1,06;"72%";148,7;"19%";27;17
"1162";"ralle";"Wint";92;1;190,3;1;"73%";122,8;"44%";21;1
"1163";"Soft";"KAMK";72;1;204,3;1;"64%";132,9;"30%";23;-3
"1164";"FREY";"LZ";2350;1;202,5;1,02;"69%";133,8;"20%";28;19
"1165";"maxie";"BLD";1702;0,99;192,1;0,97;"72%";129,5;"27%";26;-29
"1166";"fr0st";"BVD";1565;0,99;187,1;0,95;"72%";123,4;"22%";27;7
"1167";"sutecas";"ODK";1982;0,99;192,8;1,01;"71%";124,8;"27%";29;-42
"1168";"Trill";"STORM";3641;0,99;186,5;0,98;"72%";120,9;"25%";25;-30
"1169";"Yoshii";"Proj";5057;0,99;219,4;1,02;"68%";138,9;"25%";34;89
"1170";"Derek";"BRN";607;0,99;193,6;0,99;"72%";127;"24%";23;-15
"1171";"Bocah";"DEWA";563;0,99;200,1;1;"70%";127,5;"26%";28;7
"1172";"MARCTYLINHO";"S1";1131;0,99;188,9;0,98;"72%";123,4;"19%";26;2
"1173";"rEplan";"OF";2450;0,99;233,9;1,04;"68%";147,5;"18%";33;39
"1174";"Apoth";"EG";5236;0,99;191,4;0,98;"70%";124,5;"29%";36;-45
"1175";"svL";"Cosm";2775;0,99;197,2;0,96;"73%";127,9;"21%";33;-53
"1176";"Fatmarino";NA;999;0,99;199,5;0,98;"69%";131,1;"27%";26;-1
"1177";"asjrd";"Devi";133;0,99;217,8;0,98;"65%";135,6;"24%";22;-6
"1178";"kokuya";NA;296;0,99;201,9;0,93;"68%";133,5;"19%";21;0
"1179";"xnfri";"DFM";1205;0,99;190,5;0,95;"71%";128,5;"25%";28;0
"1180";"Thykuza";"NOM.L";309;0,99;236,8;1;"66%";152,9;"20%";22;1
"1181";"jcStani";"100T";5960;0,99;200;0,96;"70%";128,2;"27%";28;7
"1182";"KristA";"OutR";130;0,99;218;0,94;"69%";136,6;"27%";19;-6
"1183";"Xdll";"FL";415;0,99;202,7;0,91;"72%";131,2;"25%";22;-9
"1184";"Nick";"DNAD";3690;0,99;176,9;0,93;"73%";115,4;"27%";29;-36
"1185";"Chloettw";"OGT.X";618;0,99;215,4;1,04;"72%";137;"12%";34;16
"1186";"Yuk1no";"Toe";1704;0,99;199,7;1,01;"70%";130,3;"32%";30;-2
"1187";"SilvoxX";"OVA";78;0,99;119,5;0,72;"83%";93,4;"23%";16;-5
"1188";"goffe";"GLD";567;0,99;203,9;1,01;"71%";128,6;"24%";24;10
"1189";"BJefz";"Team";66;0,99;196,7;0,96;"58%";124,7;"18%";20;-1
"1190";"aLerT";"PLM";2952;0,99;209;1,05;"72%";134,2;"24%";35;41
"1191";"sw";"DELI";1461;0,99;195,7;0,94;"70%";128,3;"24%";28;-27
"1192";"Medusa";"CR";1818;0,99;208,4;1,05;"68%";133,2;"26%";29;4
"1193";"Suka";"FCY";2291;0,99;198,6;0,96;"72%";130,9;"24%";28;-7
"1194";"LKZK1NG";NA;84;0,99;180;0,88;"76%";121,2;"23%";20;3
"1195";"hastack";"BSO";449;0,99;206,8;0,99;"70%";134,8;"22%";24;3
"1196";"geeza";"DR";4677;0,99;198,3;0,99;"70%";130,9;"30%";31;11
"1197";"scourge";"N8V.W";4807;0,99;221,4;1,01;"69%";145,1;"33%";33;8
"1198";"d1srupt";"GR G";447;0,99;218,9;1,14;"69%";142,1;"23%";29;11
"1199";"toanbanhay";NA;81;0,99;189,8;1,04;"81%";119,1;"24%";22;3
"1200";"Smoodies";NA;214;0,99;198,1;0,91;"72%";123,5;"31%";28;-3
"1201";"sym";"TSM.A";3166;0,99;237,1;1,04;"67%";155,8;"31%";42;37
"1202";"DemiGod";"MeT";484;0,99;193,2;0,91;"70%";130,4;"20%";24;-18
"1203";"Crunchy";"BOBO";6302;0,99;203,5;0,99;"71%";130;"27%";29;40
"1204";"Made";"ATS";315;0,99;197;1;"71%";122,2;"26%";25;4
"1205";"vaiZ";"INF";1003;0,99;200;0,98;"70%";128,7;"21%";24;4
"1206";"d1msumboi";"SILK";6401;0,99;184,5;0,96;"70%";124,5;"30%";26;-32
"1207";"Edelweiss";"Team";1558;0,99;206;1,03;"70%";132,5;"23%";26;-14
"1208";"Esmé";"YFPB";205;0,99;200,4;0,99;"69%";136;"27%";20;-3
"1209";"Top";"ROO";177;0,99;202,8;0,96;"72%";142,4;"32%";23;-5
"1210";"Baki";NA;62;0,99;182;0,93;"73%";116,7;"17%";17;0
"1211";"francez";"UNP";634;0,99;189,2;0,88;"72%";127,3;"25%";31;-18
"1212";"siraphop";NA;647;0,99;191,8;0,93;"72%";128,3;"24%";29;0
"1213";"DeadInk";"GSE";2268;0,99;218;1;"68%";139,7;"24%";35;4
"1214";"Lmszin";NA;139;0,99;204,1;0,94;"68%";134,7;"25%";22;7
"1215";"reagzYY";"BLD.A";352;0,99;200,6;0,92;"66%";136,4;"21%";20;2
"1216";"Klusia";NA;250;0,99;207,5;1,08;"68%";138;"30%";22;15
"1217";"Karra";"GX3";1645;0,99;202,3;1;"72%";130,1;"27%";28;-2
"1218";"Enjoy";"SQ";4136;0,99;208;1,02;"70%";135,5;"22%";35;48
"1219";"Poly";"X10S";1644;0,99;204,8;1,04;"73%";131;"27%";32;8
"1220";"Rambo";NA;72;0,99;200;0,94;"76%";125;"23%";21;-1
"1221";"matheuzin";"TBK";2672;0,99;191,8;0,95;"72%";123;"23%";27;1
"1222";"rubski";NA;293;0,99;191,5;0,99;"72%";129,3;"26%";20;8
"1223";"alexis";"C9W";3028;0,99;180;0,97;"73%";115,7;"29%";23;-43
"1224";"speedy";"NÖF";334;0,99;226,4;0,96;"66%";146,2;"20%";26;-5
"1225";"heybay";"OOW";1178;0,99;218,1;1,05;"70%";133;"25%";25;-2
"1226";"Richy";"Rapt";386;0,99;225;1,04;"69%";151,6;"30%";27;10
"1227";"re1sxd";"TBG";1708;0,99;192,9;0,99;"70%";125,2;"19%";30;-23
"1228";"Freyy";"NOM";1940;0,99;193,3;0,97;"72%";125,9;"25%";31;-25
"1229";"cooK";"3P";178;0,99;142,7;0,67;"63%";104,5;"23%";19;-13
"1230";"Niko47A";"47";775;0,99;216,5;0,97;"72%";142,6;"22%";30;7
"1231";"hero1";NA;64;0,99;239,7;1;"73%";159;"42%";23;-2
"1232";"VIZSLA";NA;192;0,99;221;1,13;"65%";145,5;"31%";36;2
"1233";"Hunts";"AG";389;0,99;197,2;0,95;"69%";133,6;"30%";24;-2
"1234";"Karakz";"sauce";150;0,99;201,4;0,92;"68%";132,6;"18%";35;1
"1235";"RAINMAKER";"INF";2213;0,99;213,8;1,04;"69%";141;"25%";33;1
"1236";"Zen";"Exce";64;0,99;201,3;0,87;"69%";133,6;"20%";16;0
"1237";"WeDid";"SKW";5025;0,99;197,9;0,98;"71%";130,4;"25%";30;-1
"1238";"mina";"SQ";7264;0,99;212,8;1;"70%";134,4;"22%";31;30
"1239";"Siduzord";NA;1539;0,99;190,7;0,96;"69%";127;"22%";32;-6
"1240";"BREKK";"AKV";799;0,99;211,4;1,03;"71%";131,8;"23%";34;12
"1241";"akaone";"LH";385;0,99;203,4;0,89;"70%";137,8;"32%";21;-2
"1242";"Supmah";"UCAM";3159;0,99;201,7;0,99;"72%";128,3;"22%";31;-13
"1243";"caydeN";"DSY.E";1050;0,99;188,2;0,93;"71%";125,4;"24%";24;-20
"1244";"Boostio";"EG";4637;0,99;226,4;1,07;"68%";144,6;"27%";42;65
"1245";"barni";NA;222;0,99;202,2;0,95;"75%";131,4;"24%";31;-1
