"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"211";1,034;0,952;214,6;201,66;71,8;68,6;1,088;0,956;138,94;131,04;1
"212";1,104;0,988;232,3;201,14;73,6;70,2;1,144;0,958;149,46;131,62;1
"213";1,094;1,042;221,74;210,54;73,2;73,2;1,14;1,048;142,62;135,78;1
"214";1,042;1,028;210,54;205,48;73,2;71,2;1,048;1,048;135,78;131,98;1
"215";0,87;0,888;188,62;189,1;64,2;67,4;0,858;0,862;123,6;123,88;0
"216";1,046;1,058;211,06;208,38;71,8;74,2;1,076;1,08;136,9;136,16;0
"217";0,916;0,968;191,66;197,02;68,6;68,2;0,91;0,964;126,02;128,76;1
"218";1,038;1,028;208,86;205,48;70,6;71,2;1,068;1,048;136,06;131,98;0
"219";1,042;1,094;210,54;221,74;73,2;73,2;1,048;1,14;135,78;142,62;0
"220";1,056;1,046;213,38;211,06;71,4;71,8;1,084;1,076;138,88;136,9;0
"221";1,046;0,958;211,06;197,38;71,8;69,2;1,076;0,958;136,9;130,34;1
"222";0,804;0,89;179,26;185,64;64,2;66,4;0,782;0,89;120,22;122,6;0
"223";1,056;0,988;213,38;201,14;71,4;70,2;1,084;0,958;138,88;131,62;1
"224";1,094;1,028;221,74;205,48;73,2;71,2;1,14;1,048;142,62;131,98;1
"225";1,042;1,038;210,54;208,86;73,2;70,6;1,048;1,068;135,78;136,06;1
"226";0,748;0,896;168,42;190,02;62,2;68,4;0,678;0,882;113,5;127;0
"227";0,968;0,838;197,02;190;68,2;63,2;0,964;0,822;128,76;126,08;1
"228";1,058;1,026;208,38;209,16;74,2;71,6;1,08;1,066;136,16;136,1;1
"229";0,908;0,914;191,76;194,16;66,8;66,6;0,888;0,888;124,52;126,74;1
"230";1,044;0,858;220,9;186,92;70,8;65,8;1,054;0,866;143,06;120,8;0
"231";0,968;0,888;197,02;189,1;68,2;67,4;0,964;0,862;128,76;123,88;1
"232";1,016;0,8;198,98;179,14;70,4;63,4;0,978;0,782;131,42;119,32;1
"233";0,998;0,748;221,56;168,42;69,8;62,2;1,058;0,678;142,96;113,5;1
"234";1,056;0,958;213,38;197,38;71,4;69,2;1,084;0,958;138,88;130,34;1
"235";1,046;0,988;211,06;201,14;71,8;70,2;1,076;0,958;136,9;131,62;1
"236";0,946;0,996;195,36;201,46;68,4;70,2;0,944;0,992;127,76;129,72;0
"237";1,09;0,962;214,86;203,68;74,2;69,4;1,138;0,96;141,2;133,3;1
"238";0,942;1,05;199;215,54;68,6;71,6;0,934;1,084;128,2;138,12;1
"239";1,082;0,962;213,02;203,68;73;69,4;1,116;0,96;137,36;133,3;0
"240";1,114;1,054;222,06;214,68;74;71,6;1,162;1,07;141,56;140,02;1
"241";0,962;1,06;203,68;208,94;69,4;73;0,96;1,07;133,3;135,32;1
"242";1,028;1,094;205,48;221,74;71,2;73,2;1,048;1,14;131,98;142,62;1
"243";1,05;0,942;215,54;199;71,6;68,6;1,084;0,934;138,12;128,2;0
"244";1,114;1,094;222,06;221,74;74;73,2;1,162;1,14;141,56;142,62;0
"245";1,114;1,028;222,06;205,48;74;71,2;1,162;1,048;141,56;131,98;1
"246";1,09;1,082;214,86;213,02;74,2;73;1,138;1,116;141,2;137,36;1
"247";1,032;1,054;217,18;214,68;69,4;71,6;1,064;1,07;140,64;140,02;0
"248";0,94;0,79;201,06;186,26;68,2;62;0,958;0,768;132,18;121,1;1
"249";0,962;1,082;203,68;213,02;69,4;73;0,96;1,116;133,3;137,36;0
"250";0,942;0,94;199;201,06;68,6;68,2;0,934;0,958;128,2;132,18;1
"251";0,798;1,082;175,82;213,02;63,4;73;0,748;1,116;117,1;137,36;0
"252";1,05;0,79;215,54;186,26;71,6;62;1,084;0,768;138,12;121,1;1
"253";0,878;0,942;189,6;199;66,8;68,6;0,858;0,934;124,66;128,2;0
"254";1,06;1,09;208,94;214,86;73;74,2;1,07;1,138;135,32;141,2;0
"255";1,06;1,136;208,94;221,22;73;75,6;1,07;1,168;135,32;145,08;1
