"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"64";2082,046;1,118;224,502;73;1,182;145,16;0,782;0,274;0,122;0,1;1559,566;1312,418;649,048;199,776;146,382;1921,582;1,096;221,726;72,4;1,168;140,744;0,774;0,276;0,112;0,094;1510,27;1273,954;514,754;221,228;169,762;1
"65";1578,018;1,076;219,574;72;1,11;142,116;0,772;0,26;0,116;0,106;1254,444;1105,234;379,732;210,694;177,514;1642,548;1,014;216,496;70,2;1,056;139,594;0,75;0,27;0,116;0,112;1246,562;1141,372;476,584;190,49;180,604;1
"66";878,97;1,026;209,914;70,4;1,08;135,14;0,732;0,278;0,108;0,098;655,768;594,458;226,684;97,514;82,426;826,33;1,062;210,954;72,4;1,13;136,038;0,742;0,29;0,1;0,086;611,886;533,736;282,818;73,27;64,578;1
"67";1130,61;0,942;202,372;66,2;0,978;132,082;0,702;0,244;0,108;0,104;809,056;783,528;309,114;110,938;112,18;935,726;1,016;207,426;70,8;1,034;133,698;0,724;0,254;0,102;0,1;685,92;651,552;237,886;98,344;94,028;0
"68";1736,466;1,09;226,072;72,2;1,16;143,614;0,792;0,25;0,122;0,11;1404,004;1174,602;384,642;257,798;197,474;1176,796;0,992;205,938;69;1,048;132,538;0,724;0,264;0,096;0,088;850,34;795,238;302,318;111,948;93,51;1
"69";921,834;1,09;217,708;72;1,152;141,852;0,764;0,308;0,106;0,084;702,692;605,45;300,818;92,978;73,43;1356,654;0,992;201,982;70;1,012;130,6;0,696;0,286;0,1;0,092;968,308;940,342;343,948;150,562;136,998;1
"70";2056,79;1,08;212,19;73,6;1,104;137,316;0,744;0,3;0,108;0,092;1525,044;1363,364;636,76;213,104;170,5;810,266;1,058;218,922;71;1,138;141,404;0,77;0,246;0,132;0,104;616,404;552,546;207,958;104,29;81,036;1
"71";391,628;1,048;216,922;71,4;1,126;141,042;0,758;0,254;0,118;0,106;307,966;260,916;98,18;43,008;37,688;196,462;0,892;196,006;67,4;0,912;128,432;0,68;0,284;0,092;0,106;137,7;149,082;54,08;20,786;21,204;0
"72";1357,194;1,004;210,084;70,6;1,064;135,796;0,732;0,312;0,092;0,094;956,526;911,852;428,71;106,8;100,81;239,084;0,968;199,13;69,6;0,976;128,186;0,696;0,3;0,096;0,098;176,164;170,222;57,812;28,202;26,388;1
"73";468,136;0,982;214,776;70,8;1;136,334;0,738;0,264;0,124;0,122;372,418;354,496;118,606;69,438;66,744;1796,052;1,088;220,08;73,2;1,14;140,816;0,76;0,288;0,116;0,096;1398,71;1186,142;491,66;224,95;177,53;0
"74";419,464;1,088;221,682;71,8;1,124;143,648;0,77;0,264;0,116;0,102;318,604;284,834;114,546;46,298;40,804;620,776;1,006;210,504;68,6;1,066;134,048;0,734;0,248;0,11;0,104;474,22;433,51;139,434;85,566;74,534;1
"75";840,848;1,024;224,228;70,6;1,108;143,818;0,778;0,3;0,124;0,116;684,686;577,212;213,29;112,636;91,84;1300,492;1,03;204,31;71,6;1,066;133,172;0,724;0,27;0,096;0,088;932,944;864,04;378,556;108,992;99,226;1
"76";249,608;0,93;189,176;66,2;0,946;127,144;0,67;0,23;0,072;0,088;166,46;175,212;56,268;16,486;18,896;376,838;0,976;202,672;69,2;0,972;133,1;0,706;0,278;0,102;0,108;260,906;270,548;119,388;32,54;35,504;0
"77";1551,222;1,014;216,118;69,8;1,106;137,818;0,754;0,28;0,118;0,104;1192,202;1075,652;425,22;205,064;166,932;648,808;1,026;216,298;71,2;1,054;138,2;0,756;0,216;0,138;0,12;515,012;464,07;114,062;107,872;85,756;1
"78";414,568;0,918;204,35;65,8;0,982;132,658;0,706;0,262;0,098;0,094;292,534;292,47;116,644;40,868;36,726;363,362;0,988;211,192;68,4;1,01;133,808;0,722;0,292;0,12;0,124;266,82;263,562;99,986;49,634;48,654;1
"79";447,528;1,054;211,138;71,2;1,074;135,284;0,74;0,282;0,114;0,106;340,662;316,21;115,26;61,29;55,464;825,582;1,04;228,318;71,4;1,11;144,872;0,802;0,23;0,138;0,116;674,24;595,138;185,2;115,204;88,008;0
"80";656,566;1,052;209,632;72,2;1,08;135,212;0,724;0,28;0,108;0,098;467,732;425,422;177,124;65,244;57,554;531,556;1,036;203,676;70,2;1,064;129,7;0,71;0,29;0,104;0,098;385,04;348,812;147,106;51,792;47,452;0
"81";148,57;1,1;221,836;73,6;1,146;143,03;0,77;0,32;0,12;0,09;121,274;102,864;42,974;19,664;13,708;880,838;1,076;227,22;71,8;1,134;143,4;0,796;0,248;0,132;0,12;707,394;619,452;214,996;120,254;107,654;0
"82";430,214;1,022;216,072;71,2;1,048;140,04;0,75;0,258;0,12;0,108;330,626;311,11;104,672;58,51;50,712;158,066;1,058;214,758;73,4;1,07;140,866;0,746;0,338;0,098;0,1;120,204;112,302;52,39;16,704;15,692;1
"83";338,096;0,942;199,768;70,6;0,936;133,648;0,7;0,276;0,1;0,104;236,924;251,774;91,266;33,516;34,748;1241,482;1,06;211,926;73,2;1,122;134,11;0,748;0,252;0,106;0,092;968,85;835,138;276,904;148,924;120,694;0
"84";720,928;0,986;213,354;67;1,108;136,802;0,74;0,276;0,118;0,1;575,144;500,576;170,298;106,2;85,75;430,416;0,964;200,214;68,8;0,998;130,052;0,694;0,288;0,094;0,096;309,592;298,848;113,56;42,916;40,036;1
"85";804,684;1,098;224,902;73;1,14;144,286;0,792;0,268;0,116;0,1;647,548;554,842;183,838;102,102;85,752;497,178;0,988;202,732;68,8;1,028;131,594;0,708;0,29;0,098;0,096;366,66;342,622;138,896;51,08;46,314;1
"86";603,18;1,002;205,604;71,4;1,054;130,726;0,71;0,272;0,106;0,106;457,224;404,15;157,028;71,718;60,35;994,836;0,908;184,874;66,4;0,886;120,792;0,618;0,302;0,09;0,082;735,922;681,786;378,73;103,402;96,406;1
"87";1008,954;1,036;218,672;71,6;1,064;141,588;0,748;0,31;0,108;0,104;749,276;692,068;382,088;105,068;98,272;814,928;1,02;211,262;69,8;1,056;133,51;0,738;0,236;0,132;0,108;632,226;552,006;223,384;103,318;79,936;1
"88";603,18;1,002;205,604;71,4;1,054;130,726;0,71;0,272;0,106;0,106;457,224;404,15;157,028;71,718;60,35;814,928;1,02;211,262;69,8;1,056;133,51;0,738;0,236;0,132;0,108;632,226;552,006;223,384;103,318;79,936;1
"89";615,5;0,84;176,046;65;0,85;111,434;0,608;0,232;0,084;0,094;479,398;410,23;124,694;80,31;57,386;401,886;0,984;220,622;67,6;1,074;139,468;0,762;0,266;0,118;0,106;310,05;285,61;101,948;47,886;39,676;0
