"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"347";1176,796;0,992;205,938;69;1,048;132,538;0,724;0,264;0,096;0,088;850,34;795,238;302,318;111,948;93,51;1642,548;1,014;216,496;70,2;1,056;139,594;0,75;0,27;0,116;0,112;1246,562;1141,372;476,584;190,49;180,604;0
"348";1323,588;1,022;215,944;71,2;1,04;138,472;0,746;0,282;0,12;0,114;1004,234;923,55;442,806;146,278;129,686;505,296;1,024;211,816;70,4;1,084;137,56;0,744;0,246;0,114;0,102;400,418;343,644;117,584;67,868;52,702;1
"349";787,568;1,016;215,506;68,8;1,064;140,334;0,748;0,26;0,11;0,108;609,652;554,866;208,864;94,044;87,256;827,952;0,996;199,068;70,8;0,98;128,88;0,686;0,28;0,096;0,094;609,576;583,494;208,792;109,416;94,474;1
"350";575,54;0,99;202,434;70,4;0,994;132,016;0,706;0,27;0,1;0,112;407,856;401,426;167,242;52,802;55,682;1358,63;1,092;202,662;74,2;1,114;132,686;0,714;0,294;0,088;0,076;943,582;843,878;452,29;112,914;91,774;0
"351";297,402;0,87;187,702;64,8;0,874;123,476;0,652;0,254;0,098;0,108;198,2;226,948;66,136;35,252;37,558;1356,654;0,992;201,982;70;1,012;130,6;0,696;0,286;0,1;0,092;968,308;940,342;343,948;150,562;136,998;0
"352";587,758;1,03;210,428;70;1,118;135,274;0,744;0,254;0,096;0,084;473,124;390,204;131,574;76,452;54,674;965,39;0,978;212,062;68,4;1,036;137,086;0,736;0,298;0,102;0,098;730,892;680,018;283,174;101,562;91,242;0
"353";869,134;1,048;210,2;72,4;1,068;133,648;0,724;0,316;0,11;0,092;596,108;575,714;327,138;69,982;64,922;1494,654;1,158;226,032;74,8;1,222;147,304;0,788;0,31;0,102;0,082;1096,576;935,48;524,374;122,8;96,368;0
"354";881,408;1,108;223,826;72,6;1,166;144,88;0,778;0,262;0,122;0,104;696,454;589,478;221,238;113,542;90,648;733,092;1,01;211,63;68,8;1,086;137,034;0,748;0,218;0,116;0,102;545,692;503,1;148,336;82,326;73,616;1
"355";1138,254;1,044;223,592;70,4;1,144;143,6;0,788;0,226;0,122;0,1;936,942;783,494;213,178;165,908;117,852;278,616;0,924;191,194;69,2;0,932;125,856;0,662;0,27;0,08;0,088;200,784;195,168;65,462;26,218;27,118;1
"356";1559,306;1,014;216,116;70;1,106;137,818;0,754;0,28;0,118;0,104;1198,292;1079,93;428,06;206,122;167,568;750,836;1,026;216,508;72;1,072;140,264;0,754;0,256;0,11;0,102;571,734;533,938;167,622;93,278;81,95;1
"357";531,556;1,036;203,676;70,2;1,064;129,7;0,71;0,29;0,104;0,098;385,04;348,812;147,106;51,792;47,452;620,776;1,006;210,504;68,6;1,066;134,048;0,734;0,248;0,11;0,104;474,22;433,51;139,434;85,566;74,534;1
"358";903,684;1,002;210,798;70;1,036;136,4;0,728;0,28;0,104;0,096;654,714;619,136;284,964;80,424;72,602;1241,482;1,06;211,926;73,2;1,122;134,11;0,748;0,252;0,106;0,092;968,85;835,138;276,904;148,924;120,694;0
"359";329,486;0,916;193,052;68,4;0,91;126,114;0,676;0,274;0,098;0,1;233,132;242,722;78,898;36,714;36,084;367,582;0,984;210,704;68,2;1,004;133,584;0,722;0,292;0,12;0,124;269,07;266,826;101,344;49,878;49,456;0
"360";110,668;0,904;190,774;67,8;0,84;125,092;0,636;0,306;0,102;0,11;71,392;85,268;35,31;11,914;11,718;918,14;1,016;214,13;70,2;1,12;138,134;0,754;0,28;0,104;0,094;678,56;585,028;261,116;69,114;59,12;0
"361";266,278;0,914;201,434;68,6;0,918;133,972;0,7;0,286;0,102;0,104;188,948;201,782;72,882;30,524;30,804;645,064;1,024;215,62;71,4;1,066;138,49;0,748;0,276;0,114;0,102;482,64;443,338;189,962;69,51;64,52;0
"362";542,784;1,108;216,864;72,8;1,152;138,61;0,756;0,306;0,104;0,092;418,08;353,982;171,892;55,444;48,662;858,498;1,028;217,048;68,4;1,16;139,212;0,758;0,298;0,102;0,088;661,332;554,722;278,736;82,524;63,814;0
"363";430,416;0,964;200,214;68,8;0,998;130,052;0,694;0,288;0,094;0,096;309,592;298,848;113,56;42,916;40,036;457,96;1,024;212,002;70;1,116;137,12;0,738;0,29;0,098;0,084;341,626;303,13;129,972;46,674;38,504;0
"364";164,11;1,05;213,944;72,8;1,052;140,858;0,742;0,328;0,102;0,1;123,612;116,338;53,798;17,174;15,842;711,332;1,01;208,202;71;1,042;135,258;0,726;0,268;0,112;0,106;519,232;498,678;193,146;83,214;79,392;1
