"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"521";1,002;0,978;204,86;205,006;71,8;68,8;1,028;0,996;133,668;132,806;1
"522";0,87;1,08;187,702;212,19;64,8;73,6;0,874;1,104;123,476;137,316;0
"523";0,972;1,048;197,294;210,2;70;72,4;0,964;1,068;129,042;133,648;1
"524";0,946;0,992;217,114;202,212;64,2;69,6;1,108;1,04;135,002;131,94;1
"525";0,956;0,99;199,128;204,3;67;70,2;1,004;1,022;130,26;133,638;0
"526";0,926;1,158;197,618;226,054;66,8;74,8;0,928;1,222;128,082;147,304;0
"527";0,992;0,998;205,938;202,332;69;70;1,048;1,018;132,538;130,732;1
"528";0,992;1,01;207,876;217,128;68,8;70,6;1,108;1,04;132,682;140,634;1
"529";1,052;1,008;214,134;205,784;71,8;70,8;1,07;1,034;137,064;134,66;1
"530";1,02;1,06;202,086;226,614;71,6;70,8;1,05;1,146;132,036;142,632;0
"531";0,978;1,108;201,942;223,73;70,2;72,6;0,974;1,158;132,14;144,844;0
"532";1,09;1,058;217,708;218,922;72;71;1,152;1,138;141,852;141,404;1
"533";0,982;1,01;214,446;211,63;69,8;68,8;1,006;1,086;140,094;137,034;0
"534";1,042;1,032;224,996;209,522;70,6;70,2;1,09;1,064;145,256;134,142;1
"535";1,026;0,904;216,55;190,774;72;67,8;1,068;0,84;140,404;125,092;1
"536";1,024;1,004;215,85;211,088;71,2;70,2;1,068;1,038;138,632;136,662;0
"537";0,974;1,012;200,548;216,118;70;69,8;0,996;1,104;129,236;137,766;0
"538";0,91;1,072;198,858;217,092;69,8;73,2;0,914;1,126;132,768;139,768;0
"539";0,946;1,012;201,454;208,652;70;71;0,924;1,042;132,942;135,456;0
"540";1,068;0,926;220,282;207,384;71;64,6;1,126;1,008;141,63;130,606;1
"541";1,01;0,87;211,178;213,74;71,2;61,2;1,036;0,98;137,74;137,728;1
"542";1,034;0,974;210,114;199,242;71,8;68,8;1,058;0,958;136,534;130,22;1
"543";1,09;1,092;214,928;218,012;72,8;73,6;1,154;1,122;137,936;139,552;0
"544";1,09;1,026;214,928;205,468;72,8;72;1,154;1,034;137,936;132,846;1
"545";1,072;1,092;216,216;218,012;71,4;73,6;1,184;1,122;133,892;139,552;0
"546";1;1,014;205,178;216,414;70,6;70;1,028;1,056;132,462;139,512;0
"547";0,87;1,058;187,702;218,922;64,8;71;0,874;1,138;123,476;141,404;0
"548";1,09;1,08;217,708;212,19;72;73,6;1,152;1,104;141,852;137,316;0
"549";1,076;0,992;219,574;205,938;72;69;1,11;1,048;142,116;132,538;0
"550";1,084;0,998;225,97;202,332;72,2;70;1,156;1,018;143,582;130,732;1
"551";1,058;1,058;211,816;211,408;73,2;71,4;1,122;1,082;134,064;135,434;1
"552";1,042;0,98;228,868;216,178;71,4;70,8;1,112;1,004;145,206;137,092;1
"553";1,08;1,026;215,012;205,468;72,2;72;1,102;1,034;139,39;132,846;0
"554";1,04;1,092;213,464;218,012;71,6;73,6;1,07;1,122;138,432;139,552;0
"555";1,026;1,08;205,468;202,436;72;73;1,034;1,096;132,846;128,946;1
"556";1,072;1,056;216,216;222,42;71,4;70,2;1,184;1,086;133,892;142,536;0
"557";1,09;1,108;214,928;213,38;72,8;74;1,154;1,142;137,936;137,916;0
"558";1,08;1,04;209,392;213,464;73;71,6;1,088;1,07;135,968;138,432;0
"559";1,054;1,08;212,59;215,012;71,8;72,2;1,092;1,102;136,716;139,39;0
"560";0,938;1,092;203,204;218,012;66,2;73,6;0,982;1,122;131,386;139,552;0
"561";1,026;0,986;209,914;195,298;70,4;70,2;1,08;1,002;135,14;124,888;0
"562";1,072;1,026;216,216;205,468;71,4;72;1,184;1,034;133,892;132,846;1
"563";1,056;1,054;222,42;212,59;70,2;71,8;1,086;1,092;142,536;136,716;1
"564";1,064;1,09;220,096;214,928;72,4;72,8;1,094;1,154;141,266;137,936;0
"565";1,108;1,08;213,38;209,392;74;73;1,142;1,088;137,916;135,968;1
"566";1,08;1,02;215,012;205,124;72,2;72;1,102;1,006;139,39;133,772;1
"567";1,01;1,08;199,106;202,436;72,6;73;0,972;1,096;127,83;128,946;0
"568";1,042;1,04;206,4;213,464;71,2;71,6;1,066;1,07;133,57;138,432;0
"569";1,026;1,092;214,524;218,012;70,2;73,6;1,068;1,122;138,73;139,552;0
"570";1,084;1;225,97;205,178;72,2;70,6;1,156;1,028;143,582;132,462;1
"571";1,062;1,038;210,954;209,408;72,4;70,4;1,13;1,084;136,038;134,716;0
"572";1,026;1,05;214,524;214,874;70,2;70,8;1,068;1,076;138,73;139,332;1
"573";1,08;1,014;212,19;216,414;73,6;70;1,104;1,056;137,316;139,512;1
"574";1,058;0,998;218,922;202,332;71;70;1,138;1,018;141,404;130,732;0
"575";1,09;1,076;217,708;219,574;72;72;1,152;1,11;141,852;142,116;0
"576";0,844;0,992;181,756;205,938;63,6;69;0,866;1,048;117,18;132,538;0
"577";1,08;1,03;202,436;207,858;73;71,2;1,096;1,042;128,946;136,84;1
"578";1,042;1,032;206,4;205,838;71,2;71,6;1,066;1,066;133,57;135,322;1
"579";1,092;1,054;218,012;218,17;73,6;72,2;1,122;1,086;139,552;140,546;1
"580";1,01;1,056;199,106;208,526;72,6;73,4;0,972;1,046;127,83;134,138;1
"581";1,058;1,04;217,084;213,464;72;71,6;1,056;1,07;141,912;138,432;0
"582";1,026;1,026;214,524;205,468;70,2;72;1,068;1,034;138,73;132,846;0
"583";1,054;1,042;212,59;206,4;71,8;71,2;1,092;1,066;136,716;133,57;1
"584";1,072;1,092;216,216;218,012;71,4;73,6;1,184;1,122;133,892;139,552;1
