"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"597";0,938;0,936;197,28;198,58;68;69;0,922;0,94;129,4;128,66;0
"598";0,798;0,814;179,64;189,2;63,8;63,6;0,79;0,802;116,66;124,86;0
"599";0,808;0,606;177,14;151,12;62,4;53;0,77;0,544;116,2;100,72;1
"600";0,8;0,788;177,94;175,62;62,4;64,2;0,72;0,766;118,74;118,14;1
"601";0,974;0,8;197,56;171,72;71,2;63,6;0,974;0,756;129,76;116,44;1
"602";0,764;0,892;169,12;189,62;59;69;0,736;0,852;111,96;125,04;1
"603";1,004;0,984;211,52;208,6;69,4;68,6;1,028;0,99;138,4;135,36;0
"604";0,964;1,004;200,36;211,52;70;69,4;0,982;1,028;130,36;138,4;1
"605";0,964;0,984;200,36;208,6;70;68,6;0,982;0,99;130,36;135,36;1
"606";0,89;0,808;190,92;177,14;65;62,4;0,84;0,77;127,9;116,2;1
"607";1,016;0,814;203,48;189,2;72,8;63,6;1,028;0,802;132,56;124,86;1
"608";0,978;0,864;204,38;191,88;70,8;64;1,002;0,852;134,02;126,14;1
"609";0,788;0,912;175,62;194,66;64,2;67,4;0,766;0,908;118,14;128,94;0
"610";1,036;0,8;207,52;171,72;73,8;63,6;1,044;0,756;134,74;116,44;1
"611";0,892;0,872;189,62;185,08;69;66,2;0,852;0,874;125,04;121,4;0
"612";0,986;0,836;199,72;184,84;71,8;65;0,974;0,804;131,46;122,54;1
"613";1,002;1,004;210,14;206,82;69,4;71,2;1,012;1,01;137,34;133,76;0
"614";1,036;1,002;211,16;210,14;70,8;69,4;1,062;1,012;135,34;137,34;0
"615";1,004;1,096;206,82;216,32;71,2;73,2;1,01;1,124;133,76;139,24;1
"616";1;1,036;202,5;211,16;70,4;70,8;0,984;1,062;131,24;135,34;0
"617";1,002;0,974;210,14;202,48;69,4;70,2;1,012;0,97;137,34;131,7;1
"618";1,096;1,012;216,32;203,02;73,2;70,6;1,124;1,016;139,24;131;1
"619";1,036;0,93;211,16;200,98;70,8;68,2;1,062;0,972;135,34;130,98;1
