"";"V1";"V2"
"606";"Shopify Rebellion GC";"Teddy Tactics"
"607";"FaZe Clan GC";"Ariana Grande Perfume"
"608";"Complexity GX3";"Overkill Black"
"609";"CLG Red";"Nora's Kitten Shelter"
"610";"Evil Geniuses GC";"Jenerators"
"611";"XSET";"Akumu"
"612";"Version1";"having fun"
"613";"Misfits Black";"Team Karma"
"614";"00Nation";"TBK Esports"
"615";"Invincible Gaming";"JiJieHao"
"616";"Night Wings Gaming";"Four Angry Men"
"617";"LAZY";"Team Lofi"
"618";"Guangzhou Long Lionz";"Funcrew"
"619";"Kingzone";"Nova Esports"
"620";"UTT Esports";"Anti Eco Eco Club"
"621";"Made in Thailand";"Team NKT"
"622";"The Who?";"95x Esports"
"623";"X10 Esports";"Todak"
"624";"Fancy United Esports";"Team Big BAAM"
"625";"Ghost CommandoS";"ONE Team Esports"
"626";"XERXIA Esports";"The Infinity Esport"
"627";"Enigma Gaming";"Louvre"
"628";"Lethal Esports";"Medal Esports"
"629";"Team Liquid";"Karmine Corp"
"630";"KOI";"Giants Gaming"
"631";"Rex Regum Qeon";"DetonatioN FocusMe"
"632";"JiJieHao";"Night Wings Gaming"
"633";"T1";"Paper Rex"
"634";"Kingzone";"Monarch Effect"
"635";"GTZ Esports";"EGN Esports"
"636";"NOM Esports";"Diamant Esports"
"637";"FTW Esports";"Impulse GW"
"638";"Rapid Ninjas";"Zero Tenacity"
"639";"Acend Rising";"Istanbul Wildcats Female"
"640";"Team Falcons Vega";"Alliance Coven"
"641";"FUT JEFF";"KPI Shine"
"642";"BBL Queens";"Karmine Corp GC"
"643";"Joblife";"Mandatory"
"644";"EX0TIK GAMING";"Panthers Esports"
"645";"Anonymo Esports";"Acend"
"646";"3DMAX";"WYLDE"
"647";"Galatasaray Esports";"İstanbul Wildcats"
"648";"Macko Esports";"HMBLE"
"649";"SAW";"VIKINGS Fourteen"
"650";"SBG";"Zerance"
"651";"Cloud9";"LOUD"
"652";"QLASH";"DSYRE"
"653";"Solary";"Akroma"
"654";"Outplayed";"Axolotl"
